metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9831072971675469,0.9845736200284397,0.0014663228608928769
recall,0.5236451391219574,0.3651691678253504,-0.158475971296607
f1,0.6833230794898799,0.5327473244887967,-0.15057575500108322
iou,0.5189755124021922,0.36309173830825214,-0.15588377409394005
accuracy,0.5337601326455417,0.3846720707442889,-0.1490880619012528
kappa,0.047033483724854074,0.026989477640816148,-0.020044006084037926
tp,32765.0,22849.0,
fp,563.0,358.0,
fn,29806.0,39722.0,
tn,2002.0,2207.0,
