source,n_years,mean_iou,min_iou,max_iou,std_iou,interpretation
raw,4,0.7283166942991718,0.7057389876600221,0.764508614289737,0.01920138945540681,Moderate boundary changes
filtered,4,0.457974533456067,0.4155116025541193,0.515925984501028,0.032586271877526544,Significant boundary instability
