metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9831455939773589,0.9903717787936405,0.007226184816281567
recall,0.5593485800131052,0.3912515382525451,-0.16809704176056006
f1,0.7130284200876033,0.5609119028525604,-0.15211651723504283
iou,0.5540358708901236,0.3897689821522393,-0.1642668887378843
accuracy,0.5674895603045935,0.4115696389093589,-0.15591992139523464
kappa,0.05385987553342531,0.036956521593215434,-0.016903353940209878
tp,34999.0,24481.0,
fp,600.0,238.0,
fn,27572.0,38090.0,
tn,1965.0,2327.0,
