metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9864294330518697,0.9895843970182784,0.003154963966408686
recall,0.5227661376676096,0.30976011251218616,-0.21300602515542344
f1,0.6833732019930848,0.4718283286877564,-0.2115448733053284
iou,0.5190333380936514,0.30875348466746316,-0.2102798534261882
accuracy,0.534650577253746,0.33380926062392535,-0.20084131662982063
kappa,0.0534504873603782,0.025479947203837144,-0.027970540156541053
tp,32710.0,19382.0,
fp,450.0,204.0,
fn,29861.0,43189.0,
tn,2115.0,2361.0,
